Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2014,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,,Percent,67.0
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,,Percent,60.9
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,Rural,Percent,57.7
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,Urban,Percent,65.5
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Bulawayo,Female,15 to 49 years old,,Percent,84.2
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Harare,Female,15 to 49 years old,,Percent,60.9
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Manicaland,Female,15 to 49 years old,,Percent,51.3
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Mashonaland Central,Female,15 to 49 years old,,Percent,64.2
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Masholanad East,Female,15 to 49 years old,,Percent,67.9
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Midlands,Female,15 to 49 years old,,Percent,57.4
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Matabeland North,Female,15 to 49 years old,,Percent,60.8
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Matabeland South,Female,15 to 49 years old,,Percent,76.6
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Masvingo,Female,15 to 49 years old,,Percent,65.3
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Mashonaland West,Female,15 to 49 years old,,Percent,51.9
