Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2020,Normal value,Units,GOZ,Proportion of individuals using the Internet [17.8.1],,,,Percent,29.3
2023,Normal value,Units,GOZ,Proportion of individuals using the Internet [17.8.1],,,,Percent,22.0
2019,Normal value,Units,ZIMSTAT_MICS_Report_2019,Proportion of individuals using the Internet [17.8.1],,,Rural,Percent,19.9
2019,Normal value,Units,ZIMSTAT_MICS_Report_2019,Proportion of individuals using the Internet [17.8.1],,,Urban,Percent,50.1
2014,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],,Female,,Percent,16.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],,Female,,Percent,30.3
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],,Female,,Percent,34.2
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Bulawayo,,,Percent,39.6
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Bulawayo,,,Percent,60.3
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Bulawayo,,,Percent,38.6
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Harare,,,Percent,46.4
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Harare,,,Percent,53.8
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Harare,,,Percent,54.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Manicaland,,,Percent,32.6
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Manicaland,,,Percent,17.8
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Manicaland,,,Percent,27.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland Central,,,Percent,16.1
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland Central,,,Percent,15.6
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland Central,,,Percent,16.8
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masholanad East,,,Percent,40.3
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masholanad East,,,Percent,21.7
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masholanad East,,,Percent,25.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Midlands,,,Percent,32.2
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Midlands,,,Percent,25.0
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Midlands,,,Percent,32.8
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland North,,,Percent,7.5
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland North,,,Percent,22.0
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland North,,,Percent,21.8
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland South,,,Percent,36.2
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland South,,,Percent,34.4
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland South,,,Percent,35.0
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masvingo,,,Percent,17.9
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masvingo,,,Percent,20.0
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masvingo,,,Percent,43.0
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland West,,,Percent,21.2
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland West,,,Percent,22.8
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland West,,,Percent,31.8
